track_id,title,artist,popularity
48DKpTEVJ2pAjxQbWTad3q,Treat You Better,Shawn Mendes,59
3OHfY25tqY28d16oZczHc8,Kill Bill,SZA,81
7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),Calvin Harris,84
69bp2EbF7Q2rqc5N3ylezZ,Sorry,Justin Bieber,5
77NNZQSqzLNqh2A9JhLRkg,Don't Stop Believin',Journey,78
4ZtFanR9U6ndgddUvNcjcG,good 4 u,Olivia Rodrigo,86
1XuTclE1rgHk5grtTUZflA,Hard 2 Luv,Alexcis,48
4CeeEOM32jQcH3eN9Q2dGj,Smells Like Teen Spirit,Nirvana,87
7JJmb5XwzOO8jgpou264Ml,There's Nothing Holdin' Me Back,Shawn Mendes,89
6Qyc6fS4DsZjB2mRW9DsQs,Iris,The Goo Goo Dolls,94
2dpaYNEQHiRxtZbfNsse99,Happier,Marshmello,16
7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),"Tyler, The Creator",93
6zSpb8dQRaw0M1dK8PBwQz,Cold Heart - PNAU Remix,Elton John,84
3ee8Jmje8o58CHK66QrVC2,SAD!,XXXTENTACION,83
6XWmOWERKZRxeqkAIffh94,I'm the problem,Austroid,29
7m9OqQk4RVRkw9JJdeAw96,Jocelyn Flores,XXXTENTACION,82
3GCdLUSnKSMJhs4Tj6CV3s,"All The Stars (with SZA) - From ""Black Panther: The Album""",Kendrick Lamar,94
2HRgqmZQC0MC7GeNuDIXHN,Seven (feat. Latto) (Explicit Ver.),Jung Kook,86
